tmdb_id	imdb_id	title	plot	poster_path	release_date	budget	revenue	runtime	popularity	user_rating	production_company	genres
2	0094675	Ariel	Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned...	/gZCJZOn4l0Zj5hAxsMbxoS6CL0u.jpg	1988-10-21	0	0	69	0.579495	6.8	,Villealfa Filmproduction Oy,Finnish Film Foundation	,Drama,Crime
3	0092149	Shadows in Paradise	An episode in the life of Nikander, a garbage man, involving the death of a co-worker, an affair and much more.	/7ad4iku8cYBuB08g9yAU7tHJik5.jpg	1986-10-16	0	0	76	0.29524	6.8	,Villealfa Filmproduction Oy	,Drama,Comedy
5	0113101	Four Rooms	It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.	/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg	1995-12-25	4000000	4300000	98	1.562953	6.4	,Miramax Films,A Band Apart	,Crime,Comedy
6	0107286	Judgment Night	While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama	/lNXmgUrP6h1nD53gkFh4WDzT6RZ.jpg	1993-10-15	0	12136938	110	0.450846	6.6	,Largo Entertainment,JVC Entertainment Networks	,Action,Thriller,Crime
8	0825671	Life in Loops (A Megacities RMX)	Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world "megacities" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006	/8YyIjOAxwzD3fZMdmJrfiApod4l.jpg	2006-01-01	42000	0	80	0.083925	5.2	,inLoops	,Documentary
9	0425473	Sunday in August		None	2004-09-02	0	0	15	0.083938	1.0		,Drama
11	0076759	Star Wars	Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.	/tvSlBzAdRE29bZe5yYWrJ2ds137.jpg	1977-05-25	11000000	775398007	121	8.476624	8.0	,Lucasfilm,Twentieth Century Fox Film Corporation	,Adventure,Action,Science Fiction
12	0266543	Finding Nemo	A tale which follows the comedic and eventful journeys of two fish, the fretful Marlin and his young son Nemo, who are separated from each other in the Great Barrier Reef when Nemo is unexpectedly taken from his home and thrust into a fish tank in a dentist's office overlooking Sydney Harbor. Buoyed by the companionship of a friendly but forgetful fish named Dory, the overly cautious Marlin embarks on a dangerous trek and finds himself the unlikely hero of an epic journey to rescue his son.	/zjqInUwldOBa0q07fOyohYCWxWX.jpg	2003-05-30	94000000	864625978	100	4.530215	7.5	,Walt Disney Pictures,Pixar Animation Studios,Disney Enterprises	,Animation,Family
13	0109830	Forrest Gump	A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.	/yE5d3BUhE8hCnkMUJOo1QDoOGNz.jpg	1994-07-06	55000000	677945399	142	5.564145	8.1	,Paramount Pictures	,Comedy,Drama,Romance
14	0169547	American Beauty	Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.	/or1MP8BZIAjqWYxPdPX724ydKar.jpg	1999-09-15	15000000	356296601	122	4.0425	7.8	,DreamWorks SKG,Jinks/Cohen Company	,Drama
