tmdb_id,Adventure,Fantasy,Animation,Drama,Horror,Action,Comedy,History,Western,Thriller,Crime,Documentary,Science Fiction,Mystery,Music,Romance,Family,War,TVMovie,Foreign
2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
17,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
18,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
38,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
55,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
