tmdb_id	imdb_id	cast	director	writer	USA_rating
2	0094675	0656999,0352099,0671231,0383990,0656998	0442454	0442454	Not Rated
3	0092149	0671231,0653669,0475411,0631741,0477871	0442454	0442454	
5	0113101	0205423,0004866,0000420,0000187,0001746	0025978,0734319	0025978,0734319	R
6	0107286	0000389,0000421,0001459,0001151,0005315	0394280	0171474,0192342	R
8	0825671		1119183	0322198,1119183	
11	0076759	0000434,0000148,0000402,0001088,0000027	0000184	0000184	PG
12	0266543	0000983,0001122,1071252,0000353,0004951	0004056,0881279	0004056,0004056	G
13	0109830	0000158,0931508,0000398,0402011,0381041	0000709	0343165,0744839	PG-13
14	0169547	0000228,0000906,0000301,0004747,0002546	0005222	0050332	R
15	0033467	0001072,0173827,0001547,0913095,0172615	0000080	0542534,0000080	Approved
16	0168629	0001951,0000366,0001556,0001780,0001297	0001885	0001885	R
17	0411267	0004742,0000293,0747687,1552136,1659629	0269502	1646516,1351157	R
18	0119116	0000246,0000198,0000453,0000170,0000676	0000108	0000108,0436543	PG-13
19	0017136	0002154,0297054,0459030,0003248,0519765	0000485	0902376,0902376	Not Rated
20	0314412	0001631,0001625,0005454,0914455,0001323	0170043	0170043,1563090	R
21	0060371	0405286,0041875,0088060,0113164,1171735	0113164	0113164	PG
22	0325980	0000136,0001691,0089217,0461136,0202603	0893659	0254645,0744429	PG-13
24	0266697	0000235,0005154,0000407,0000435,0001016	0000233	0000233,0000233	R
25	0418763	0350453,0531924,0765597,0004937,0591247	0005222	0115310,1666018	R
26	0352994	0038988,0074257,0676358,0791435,0716686	0297202	0074257,0676358	R
27	0411705	0639659,1626256,1384130,2105979,2153110	0935863	0935863	Not Rated
28	0078788	0000008,0000640,0000380,0002078,0098734	0000338	0587518,0000338	R
30	1530535	0157133,2451948,0386252,0386193,0411384	0605479	0464804,0960028	PG-13
32	6264824	0250752,0297983,2106149,0411051,0442781	0960028	0960028	PG-13
33	0105695	0000142,0000432,0000151,0001321,0941316	0000142	0672459	R
35	0462538	0144657,0001413,0004813,0810379,0000279	0798899	0000985,0004981	PG-13
38	0338013	0000120,0000701,0004423,0000704,0752876	0327273	0442109,0327273	R
55	0245712	0248408,0305558,0865949,0346270,0061639	0327944	0037247	R
58	0383574	0000136,0089217,0461136,0202603,0631490	0893659	0254645,0744429	PG-13
59	0399146	0001557,0004742,0000438,0000458,1525948	0000343	0905957,1583671	R
62	0062622	0001158,0516972,0843213,0725220,0744436	0000040	0000040,0002009	G
63	0114746	0577828,0000246,0781218,0151232,0132912	0000416	0003408,0672459	R
64	0287467	0194572,0334882,0914455,0282936,0297443	0000264	0000264	R
65	0298203	0004896,0000107,0001616,0005261,0428055	0000436	0798788	R
66	0118548	0000142,0000432,0000438,0001473,0001277	0000142	0049641,0001279	R
67	0445620	0044073,2351360,1845700,0627213,1846124	0009463	0009463,1178208	PG-13
68	0088846	0000596,0000134,0001340,0000453,0001364	0000416	0000416,0001779	R
69	0358273	0001618,0000702,0329481,0001598,1316767	0003506	0143599,0143599	PG-13
70	0405159	0000142,0005476,0000151,0059431,1591496	0000142	0353673,0101801	PG-13
71	0249462	0068260,0382402,0237237,0507207,0920435	0197636	0355822	R
73	0120586	0001570,0000411,0000350,0000497,0839486	0443411	0571346	TV-14
74	0407304	0000129,0266824,0001584,0154226,0000209	0000229	0295264,0462895	PG-13
75	0116996	0000197,0000335,0000906,0000112,0000362	0000318	0114083,0312481	PG-13
76	0112471	0000160,0000365,0248600,0702541,0115690	0000500	0000500,0471811	R
77	0209144	0001602,0005251,0001592,0095478,0270383	0634240	0634240,0634300	R
78	0083658	0000148,0000442,0000707,0001579,0001826	0000631	0266684,0672459	R
79	0299977	0001472,0504897,0001041,0955471,0155203	0955443	1104077,0910841	PG-13
80	0381681	0000160,0000365,0229943,1566537,0667416	0000500	0000500,0000365	R
81	0087544	0793585,0875332,0477449,0623214,0619077	0594503	0594503,0594503	PG
82	0430357	0268199,0004937,0000084,0365140,0001354	0000520	0000520,0947608	R
83	0374102	0752436,1047403,0825627,1677525,1677577	0448900	0448900	R
85	0082971	0000148,0000261,0293550,0479951,0722636	0000229	0001410,0000184	PG
86	0430051	0001953,1214637,0311476,0004376,0396125	0753912	0396391,0753912	
87	0087469	0000148,0001009,0702841,0700869,0786022	0000229	0404754,0441718	PG
88	0092890	0000426,0000664,0001583,0722407,0922967	0001915	0075044	PG-13
89	0097576	0000148,0000125,0001186,0233145,0722636	0000229	0090151,0000184	E
90	0086960	0000552,0001662,0039226,0002060,0001074	0000976	0677943,0045301	R
91	0023037	0415231,0642089	0000320	0000320,0000320	
92	0169024		0322198	0322198	
93	0052561	0000071,0001665,0001262,0640023,0000781	0695937	0562606,0871261	Unrated
95	0120591	0000246,0000671,0000255,0000239,0001599	0000881	0378144,0009190	PG-13
96	0092644	0000552,0001662,0001638,0001074,0039226	0001716	0045301,0677943	R
97	0084827	0000313,0000310,0001831,0604563,0400464	0513974	0513974,0513974	PG
98	0172495	0000128,0001618,0001567,0001657,0001321	0000631	0291905,0291905	R
99	0185125	0005386,0004650,0679150,0760665,0004851	0000264	0000264	R
100	0120735	0002076,0002077,0602941,0005458,0533599	0005363	0005363	R
101	0110413	0000606,0000198,0000204,0000732,0032216	0000108	0000108	Unrated
102	0315543	0586568,1003081,0509263,0824785,0084826	0081540	0421314	R
103	0075314	0007958,0012524,0034519,0034082,0043039	0000217	0001707	R
104	0130827	0004376,0001953,0460578,0677899,0737465	0878756	0878756	R
105	0088763	0000150,0000502,0000670,0000417,0001855	0000709	0000709,0301826	PG
106	0093773	0000216,0001835,0001990,0004886,0001818	0001532	0859029,0859049	R
107	0208092	0001125,0001199,0005068,0000093,0784884	0005363	0005363	R
108	0108394	0000300,0753666,0674340,0904996,0898653	0001425	0001425,0682830	R
109	0111507	0952498,0000365,0301515,0836136,0054270	0001425	0001425,0682830	R
110	0111495	0001393,0004462,0270073,0521051,0494078	0001425	0001425,0682830	R
111	0086250	0000199,0000874,0000201,0001512,0005162	0000361	0000231,0001328	TV-14
112	0243862	0077944,0836742,0433692,0304644,0433935	0771054	0082759,0771054	R
113	0374546	1301454,1104118,1018275,1138064,1415741	1104118	1104118	R
114	0100405				
115	0118715	0000313,0000422,0000194,0000114,0399663	0001054,0001053	0001053,0001054	R
116	0416320	0001667,0035602,0443373,0328828,0004051	0000095	0000095	R
117	0094226	0000126,0000125,0001747,0000412,0000134	0000361	0289708,0626479	R
118	0367594	0000136,0383603,0446303,0000307,0852965	0000318	0001094,0041864	PG
120	0120737	0397102,0032370,0000276,1019674,0000293	0001392	0866058,0909638	PG-13
121	0167261	0021600,0000276,0045324,1019674,0000949	0001392	0866058,0909638	PG-13
122	0167260	0032370,0040012,0000276,0040058,0045324	0001392	0866058,0909638	PG-13
